,Open time,Open,High,Low,Close,Volume,ph,pl,RSI,Condition_met
0,2023-09-29 15:15:00+00:00,7.145,7.161,7.133,7.139,153072.8,,,,False
1,2023-09-29 15:30:00+00:00,7.139,7.145,7.127,7.141,139785.82,,,100.0,False
2,2023-09-29 15:45:00+00:00,7.142,7.152,7.132,7.152,105276.75,,,100.0,False
3,2023-09-29 16:00:00+00:00,7.152,7.156,7.122,7.13,82909.91,,,35.17739025856845,False
4,2023-09-29 16:15:00+00:00,7.13,7.143,7.125,7.13,102593.49,,,35.17739025856845,False
5,2023-09-29 16:30:00+00:00,7.13,7.132,7.11,7.111,132119.73,,,21.329038688479073,False
6,2023-09-29 16:45:00+00:00,7.111,7.123,7.108,7.123,125788.57,,,37.94494265225069,False
7,2023-09-29 17:00:00+00:00,7.123,7.128,7.1,7.124,156546.09,,,39.09928686997753,False
8,2023-09-29 17:15:00+00:00,7.124,7.127,7.1,7.104,100762.81,,,27.91496021515931,False
9,2023-09-29 17:30:00+00:00,7.104,7.114,7.099,7.106,50596.41,,,30.069200693314144,False
10,2023-09-29 17:45:00+00:00,7.107,7.112,7.1,7.104,49162.5,,,29.13164153552023,False
11,2023-09-29 18:00:00+00:00,7.106,7.106,7.082,7.083,84942.85,,,21.53792166670459,False
12,2023-09-29 18:15:00+00:00,7.082,7.11,7.081,7.106,89997.92,,7.081,39.98873843676093,False
13,2023-09-29 18:30:00+00:00,7.106,7.129,7.106,7.124,70013.97,,,49.915135511999445,False
14,2023-09-29 18:45:00+00:00,7.123,7.135,7.121,7.133,113551.85,,,54.0111901873839,False
15,2023-09-29 19:00:00+00:00,7.133,7.137,7.121,7.123,102435.77,,,49.19683043555036,False
16,2023-09-29 19:15:00+00:00,7.123,7.131,7.115,7.126,60915.18,,,50.61890206441955,False
17,2023-09-29 19:30:00+00:00,7.125,7.129,7.113,7.115,53234.57,,,45.58078162079915,False
18,2023-09-29 19:45:00+00:00,7.115,7.133,7.115,7.12,61251.39,,,48.10897381766378,False
19,2023-09-29 20:00:00+00:00,7.12,7.139,7.111,7.114,81351.81,,,45.38421217373543,False
20,2023-09-29 20:15:00+00:00,7.114,7.115,7.1,7.102,37002.43,,7.1,40.4498196657962,False
21,2023-09-29 20:30:00+00:00,7.102,7.125,7.101,7.124,68844.05,,,50.97386413053026,False
22,2023-09-29 20:45:00+00:00,7.125,7.134,7.123,7.132,70248.31,,,54.14720958895528,False
23,2023-09-29 21:00:00+00:00,7.131,7.134,7.117,7.125,61115.94,,,51.03444808105105,False
24,2023-09-29 21:15:00+00:00,7.126,7.153,7.126,7.153,98847.24,,,60.753347029220365,False
25,2023-09-29 21:30:00+00:00,7.152,7.154,7.137,7.143,54070.04,7.154,,56.444374464195455,False
26,2023-09-29 21:45:00+00:00,7.143,7.144,7.119,7.121,43132.32,,,48.32403677211906,False
27,2023-09-29 22:00:00+00:00,7.122,7.142,7.121,7.136,92644.87,,,53.26126950276181,False
28,2023-09-29 22:15:00+00:00,7.136,7.136,7.118,7.122,84225.37,,,48.59462504269272,False
29,2023-09-29 22:30:00+00:00,7.122,7.126,7.117,7.12,53118.73,,,47.94829695406794,False
30,2023-09-29 22:45:00+00:00,7.12,7.126,7.113,7.12,70960.74,,,47.94829695406794,False
31,2023-09-29 23:00:00+00:00,7.12,7.12,7.107,7.115,49717.94,,,46.16791007264429,False
32,2023-09-29 23:15:00+00:00,7.114,7.125,7.105,7.107,54223.47,,,43.391698768855456,False
33,2023-09-29 23:30:00+00:00,7.106,7.11,7.1,7.103,55590.84,,,42.030773211243066,False
34,2023-09-29 23:45:00+00:00,7.102,7.103,7.096,7.097,36063.26,,,40.003991459644624,False
35,2023-09-30 00:00:00+00:00,7.097,7.106,7.083,7.105,83847.43,,7.083,43.88915943740437,False
36,2023-09-30 00:15:00+00:00,7.105,7.12,7.094,7.097,88658.79,,,41.02793586965997,False
37,2023-09-30 00:30:00+00:00,7.096,7.121,7.096,7.118,82003.21,,,50.20483034485892,False
38,2023-09-30 00:45:00+00:00,7.117,7.13,7.114,7.119,112592.3,7.13,,50.59906064833564,False
39,2023-09-30 01:00:00+00:00,7.119,7.122,7.099,7.102,110773.41,,,44.19353036262586,False
40,2023-09-30 01:15:00+00:00,7.103,7.113,7.093,7.095,83007.47,,,41.84451951731783,False
41,2023-09-30 01:30:00+00:00,7.095,7.107,7.089,7.092,82201.55,,,40.842566745075054,False
42,2023-09-30 01:45:00+00:00,7.093,7.104,7.09,7.092,76858.83,,,40.842566745075054,False
